window_hours,split_scheme,feature_dimension,selected_class_weight,selected_threshold,validation_precision,validation_recall,validation_f1,validation_accuracy,test_precision,test_recall,test_f1,test_accuracy,selected_by_validation
1,random,67,1.0,0.30,0.923576,0.922246,0.922911,0.989044,0.913940,0.925126,0.919499,0.988481,True
3,random,119,2.0,0.40,0.911701,0.914327,0.913012,0.987611,0.906629,0.915767,0.911175,0.987304,False
5,random,171,2.0,0.40,0.910999,0.906407,0.908697,0.987048,0.910663,0.910007,0.910335,0.987252,False
7,random,223,2.0,0.40,0.898135,0.901368,0.899748,0.985716,0.898571,0.905688,0.902115,0.986024,False
12,random,353,6.0,0.65,0.891289,0.891289,0.891289,0.984539,0.888092,0.891289,0.889687,0.984283,False
24,random,665,1.0,0.30,0.882739,0.872570,0.877625,0.982696,0.878349,0.873290,0.875812,0.982389,False
1,spaced,67,13.0,0.80,0.906845,0.917202,0.911994,0.987314,0.902996,0.899787,0.901388,0.985829,True
3,spaced,119,8.0,0.70,0.901278,0.905782,0.903524,0.986137,0.900214,0.897655,0.898932,0.985471,False
5,spaced,171,4.0,0.55,0.898195,0.887937,0.893037,0.984756,0.898121,0.883440,0.890720,0.984397,False
7,spaced,223,4.0,0.55,0.891775,0.882227,0.886975,0.983887,0.890165,0.881308,0.885714,0.983629,False
12,spaced,353,13.0,0.80,0.892029,0.878658,0.885293,0.983682,0.889769,0.877754,0.883721,0.983373,False
24,spaced,665,10.0,0.75,0.867332,0.867951,0.867642,0.981022,0.863830,0.865672,0.864750,0.980509,False
